,target_number,target_name,DEC_name,RA_name,RA_actual,DEC_actual,obs_complete_flag,target_notes
0,1,1,0.0,0.0,0.0,0.0,1.0,
1,2,2,0.0,0.214,0.0,0.0,1.0,
2,3,3,0.0,0.428,0.0,0.0,1.0,
3,4,4,0.0,0.642,0.0,0.0,1.0,
4,5,5,0.0,0.857,0.0,0.0,1.0,
5,6,6,0.0,1.071,0.0,0.0,1.0,
6,7,7,0.0,1.285,0.0,0.0,1.0,
7,8,8,0.0,1.5,0.0,0.0,1.0,
8,9,9,0.0,1.714,0.0,0.0,1.0,
9,10,10,0.0,1.928,0.0,0.0,,
10,11,11,0.0,2.142,0.0,0.0,1.0,
11,12,12,0.0,2.357,0.0,0.0,1.0,
12,13,13,0.0,2.571,0.0,0.0,1.0,
13,14,14,0.0,2.785,0.0,0.0,1.0,
14,15,15,0.0,3.0,0.0,0.0,1.0,
15,16,16,0.0,3.214,0.0,0.0,1.0,
16,17,17,0.0,3.428,0.0,0.0,1.0,
17,18,18,0.0,3.642,0.0,0.0,1.0,
18,19,19,0.0,3.857,0.0,0.0,1.0,
19,20,20,0.0,4.071,0.0,0.0,1.0,
20,21,21,0.0,4.285,0.0,0.0,1.0,
21,22,22,0.0,4.5,0.0,0.0,1.0,
22,23,23,0.0,4.714,0.0,0.0,,
23,24,24,0.0,4.928,0.0,0.0,1.0,
24,25,25,0.0,5.142,0.0,0.0,,
25,26,26,0.0,5.357,0.0,0.0,1.0,
26,27,27,0.0,5.571,0.0,0.0,1.0,
27,28,28,0.0,5.785,0.0,0.0,1.0,
28,29,29,0.0,6.0,0.0,0.0,1.0,
29,30,30,0.0,6.214,0.0,0.0,1.0,
30,31,31,0.0,6.428,0.0,0.0,1.0,
31,32,32,0.0,6.642,0.0,0.0,,
32,33,33,0.0,6.857,0.0,0.0,1.0,
33,34,34,0.0,7.071,0.0,0.0,1.0,
34,35,35,0.0,7.285,0.0,0.0,1.0,
35,36,36,0.0,7.5,0.0,0.0,,
36,37,37,0.0,7.714,0.0,0.0,1.0,
37,38,38,0.0,7.928,0.0,0.0,1.0,
38,39,39,0.0,8.142,0.0,0.0,1.0,
39,40,40,0.0,8.357,0.0,0.0,1.0,
40,41,41,0.0,8.571,0.0,0.0,1.0,
41,42,42,0.0,8.785,0.0,0.0,1.0,
42,43,43,0.0,9.0,0.0,0.0,1.0,
43,44,44,0.0,9.214,0.0,0.0,,
44,45,45,0.0,9.428,0.0,0.0,1.0,
45,46,46,0.0,9.642,0.0,0.0,1.0,
46,47,47,0.0,9.857,0.0,0.0,1.0,
47,48,48,0.0,10.071,0.0,0.0,1.0,
48,49,49,0.0,10.285,0.0,0.0,,
49,50,50,0.0,10.5,0.0,0.0,,
50,51,51,0.0,10.714,0.0,0.0,1.0,
51,52,52,0.0,10.928,0.0,0.0,,
52,53,53,0.0,11.142,0.0,0.0,1.0,
53,54,54,0.0,11.357,0.0,0.0,1.0,
54,55,55,0.0,11.571,0.0,0.0,1.0,
55,56,56,0.0,11.785,0.0,0.0,1.0,
56,57,57,0.0,12.0,0.0,0.0,,
57,58,58,0.0,12.214,0.0,0.0,1.0,
58,59,59,0.0,12.428,0.0,0.0,,
59,60,60,0.0,12.642,0.0,0.0,1.0,
60,61,61,0.0,12.857,0.0,0.0,1.0,
61,62,62,0.0,13.071,0.0,0.0,1.0,
62,63,63,0.0,13.285,0.0,0.0,1.0,
63,64,64,0.0,13.5,0.0,0.0,1.0,
64,65,65,0.0,13.714,0.0,0.0,,
65,66,66,0.0,13.928,0.0,0.0,,
66,67,67,0.0,14.142,0.0,0.0,1.0,
67,68,68,0.0,14.357,0.0,0.0,1.0,
68,69,69,0.0,14.571,0.0,0.0,1.0,
69,70,70,0.0,14.785,0.0,0.0,1.0,
70,71,71,0.0,15.0,0.0,0.0,1.0,
71,72,72,0.0,15.214,0.0,0.0,1.0,
72,73,73,0.0,15.428,0.0,0.0,1.0,
73,74,74,0.0,15.642,0.0,0.0,1.0,
74,75,75,0.0,15.857,0.0,0.0,1.0,
75,76,76,0.0,16.071,0.0,0.0,1.0,
76,77,77,0.0,16.285,0.0,0.0,1.0,
77,78,78,0.0,16.5,0.0,0.0,1.0,
78,79,79,0.0,16.714,0.0,0.0,,
79,80,80,0.0,16.928,0.0,0.0,1.0,
80,81,81,0.0,17.142,0.0,0.0,1.0,
81,82,82,0.0,17.357,0.0,0.0,1.0,
82,83,83,0.0,17.571,0.0,0.0,1.0,
83,84,84,0.0,17.785,0.0,0.0,1.0,
84,85,85,0.0,18.0,0.0,0.0,1.0,
85,86,86,0.0,18.214,0.0,0.0,,
86,87,87,0.0,18.428,0.0,0.0,1.0,
87,88,88,0.0,18.642,0.0,0.0,1.0,
88,89,89,0.0,18.857,0.0,0.0,1.0,
89,90,90,0.0,19.071,0.0,0.0,1.0,
90,91,91,0.0,19.285,0.0,0.0,1.0,
91,92,92,0.0,19.5,0.0,0.0,,
92,93,93,0.0,19.714,0.0,0.0,1.0,
93,94,94,0.0,19.928,0.0,0.0,1.0,
94,95,95,0.0,20.142,0.0,0.0,1.0,
95,96,96,0.0,20.357,0.0,0.0,1.0,
96,97,97,0.0,20.571,0.0,0.0,1.0,
97,98,98,0.0,20.785,0.0,0.0,1.0,
98,99,99,0.0,21.0,0.0,0.0,1.0,
99,100,100,0.0,21.214,0.0,0.0,,
100,101,101,0.0,21.428,0.0,0.0,1.0,
101,102,102,0.0,21.642,0.0,0.0,1.0,
102,103,103,0.0,21.857,0.0,0.0,1.0,
103,104,104,0.0,22.071,0.0,0.0,1.0,
104,105,105,0.0,22.285,0.0,0.0,1.0,
105,106,106,0.0,22.5,0.0,0.0,1.0,
106,107,107,0.0,22.714,0.0,0.0,,
107,108,108,0.0,22.928,0.0,0.0,1.0,
108,109,109,0.0,23.142,0.0,0.0,1.0,
109,110,110,0.0,23.357,0.0,0.0,1.0,
110,111,111,0.0,23.571,0.0,0.0,1.0,
111,112,112,0.0,23.785,0.0,0.0,1.0,
112,113,113,0.0,0.0,0.0,3.225,1.0,
113,114,114,0.0,0.214,0.0,3.225,1.0,
114,115,115,0.0,0.428,0.0,3.225,1.0,
115,116,116,0.0,0.642,0.0,3.225,1.0,
116,117,117,0.0,0.857,0.0,3.225,1.0,
117,118,118,0.0,1.071,0.0,3.225,1.0,
118,119,119,0.0,1.285,0.0,3.225,,
119,120,120,0.0,1.5,0.0,3.225,,
120,121,121,0.0,1.714,0.0,3.225,1.0,
121,122,122,0.0,1.928,0.0,3.225,1.0,
122,123,123,0.0,2.142,0.0,3.225,,
123,124,124,0.0,2.357,0.0,3.225,,
124,125,125,0.0,2.571,0.0,3.225,1.0,
125,126,126,0.0,2.785,0.0,3.225,1.0,
126,127,127,0.0,3.0,0.0,3.225,1.0,
127,128,128,0.0,3.214,0.0,3.225,1.0,
128,129,129,0.0,3.428,0.0,3.225,,
129,130,130,0.0,3.642,0.0,3.225,1.0,
130,131,131,0.0,3.857,0.0,3.225,,
131,132,132,0.0,4.071,0.0,3.225,1.0,
132,133,133,0.0,4.285,0.0,3.225,1.0,
133,134,134,0.0,4.5,0.0,3.225,,
134,135,135,0.0,4.714,0.0,3.225,,
135,136,136,0.0,4.928,0.0,3.225,,
136,137,137,0.0,5.142,0.0,3.225,,
137,138,138,0.0,5.357,0.0,3.225,,
138,139,139,0.0,5.571,0.0,3.225,1.0,
139,140,140,0.0,5.785,0.0,3.225,1.0,
140,141,141,0.0,6.0,0.0,3.225,1.0,
141,142,142,0.0,6.214,0.0,3.225,,
142,143,143,0.0,6.428,0.0,3.245,1.0,
143,144,144,0.0,6.642,0.0,3.225,,
144,145,145,0.0,6.857,0.0,3.225,1.0,
145,146,146,0.0,7.071,0.0,3.225,1.0,
146,147,147,0.0,7.285,0.0,3.225,,
147,148,148,0.0,7.5,0.0,3.225,1.0,
148,149,149,0.0,7.714,0.0,3.225,1.0,
149,150,150,0.0,7.928,0.0,3.225,1.0,
150,151,151,0.0,8.142,0.0,3.225,1.0,
151,152,152,0.0,8.357,0.0,3.225,1.0,
152,153,153,0.0,8.571,0.0,3.225,1.0,
153,154,154,0.0,8.785,0.0,3.225,1.0,
154,155,155,0.0,9.0,0.0,3.225,1.0,
155,156,156,0.0,9.214,0.0,3.225,1.0,
156,157,157,0.0,9.428,0.0,3.225,1.0,
157,158,158,0.0,9.642,0.0,3.225,,
158,159,159,0.0,9.857,0.0,3.225,,
159,160,160,0.0,10.071,0.0,3.225,,
160,161,161,0.0,10.285,0.0,3.225,1.0,
161,162,162,0.0,10.5,0.0,3.225,,
162,163,163,0.0,10.714,0.0,3.225,1.0,
163,164,164,0.0,10.928,0.0,3.225,1.0,
164,165,165,0.0,11.142,0.0,3.225,1.0,
165,166,166,0.0,11.357,0.0,3.225,1.0,
166,167,167,0.0,11.571,0.0,3.225,1.0,
167,168,168,0.0,11.785,0.0,3.225,,
168,169,169,0.0,12.0,0.0,3.225,1.0,
169,170,170,0.0,12.214,0.0,3.225,1.0,
170,171,171,0.0,12.428,0.0,3.225,1.0,
171,172,172,0.0,12.642,0.0,3.225,1.0,
172,173,173,0.0,12.857,0.0,3.225,1.0,
173,174,174,0.0,13.071,0.0,3.225,1.0,
174,175,175,0.0,13.285,0.0,3.225,1.0,
175,176,176,0.0,13.5,0.0,3.225,1.0,
176,177,177,0.0,13.714,0.0,3.225,1.0,
177,178,178,0.0,13.928,0.0,3.225,,
178,179,179,0.0,14.142,0.0,3.225,1.0,
179,180,180,0.0,14.357,0.0,3.225,,
180,181,181,0.0,14.571,0.0,3.225,,
181,182,182,0.0,14.785,0.0,3.225,1.0,
182,183,183,0.0,15.0,0.0,3.225,1.0,
183,184,184,0.0,15.214,0.0,3.225,1.0,
184,185,185,0.0,15.428,0.0,3.225,1.0,
185,186,186,0.0,15.642,0.0,3.225,1.0,
186,187,187,0.0,15.857,0.0,3.225,1.0,
187,188,188,0.0,16.071,0.0,3.225,1.0,
188,189,189,0.0,16.285,0.0,3.225,1.0,
189,190,190,0.0,16.5,0.0,3.225,1.0,
190,191,191,0.0,16.714,0.0,3.225,1.0,
191,192,192,0.0,16.928,0.0,3.225,1.0,
192,193,193,0.0,17.142,0.0,3.225,1.0,
193,194,194,0.0,17.357,0.0,3.225,1.0,
194,195,195,0.0,17.571,0.0,3.225,1.0,
195,196,196,0.0,17.785,0.0,3.225,1.0,
196,197,197,0.0,18.0,0.0,3.225,1.0,
197,198,198,0.0,18.214,0.0,3.225,,
198,199,199,0.0,18.428,0.0,3.225,1.0,
