,field,RA,DEC,obs_comp
0,1.0,0.0,0.0,1
1,2.0,0.21400000154972076,0.0,1
2,3.0,0.42800000309944153,0.0,1
3,4.0,0.6420000195503235,0.0,1
4,5.0,0.8569999933242798,0.0,1
5,6.0,1.0709999799728394,0.0,1
6,7.0,1.284999966621399,0.0,1
7,8.0,1.5,0.0,1
8,9.0,1.7139999866485596,0.0,1
9,10.0,1.9279999732971191,0.0,1
10,11.0,2.1419999599456787,0.0,1
11,12.0,2.3570001125335693,0.0,1
12,13.0,2.571000099182129,0.0,1
13,14.0,2.7850000858306885,0.0,1
14,15.0,3.0,0.0,1
15,16.0,3.2139999866485596,0.0,1
16,17.0,3.427999973297119,0.0,1
17,18.0,3.6419999599456787,0.0,1
18,19.0,3.8570001125335693,0.0,1
19,20.0,4.071000099182129,0.0,1
20,21.0,4.284999847412109,0.0,1
21,22.0,4.5,0.0,1
22,23.0,4.714000225067139,0.0,1
23,24.0,4.927999973297119,0.0,1
24,25.0,5.142000198364258,0.0,1
25,26.0,5.35699987411499,0.0,1
26,27.0,5.571000099182129,0.0,1
27,28.0,5.784999847412109,0.0,1
28,29.0,6.0,0.0,1
29,30.0,6.214000225067139,0.0,1
30,31.0,6.427999973297119,0.0,1
31,32.0,6.642000198364258,0.0,1
32,33.0,6.85699987411499,0.0,1
33,34.0,7.071000099182129,0.0,1
34,35.0,7.284999847412109,0.0,1
35,36.0,7.5,0.0,1
36,37.0,7.714000225067139,0.0,1
37,38.0,7.927999973297119,0.0,1
38,39.0,8.142000198364258,0.0,1
39,40.0,8.357000350952148,0.0,1
40,41.0,8.571000099182129,0.0,1
41,42.0,8.78499984741211,0.0,1
42,43.0,9.0,0.0,1
43,44.0,9.21399974822998,0.0,1
44,45.0,9.428000450134277,0.0,1
45,46.0,9.642000198364258,0.0,1
46,47.0,9.857000350952148,0.0,1
47,48.0,10.071000099182129,0.0,1
48,49.0,10.28499984741211,0.0,0
49,50.0,10.5,0.0,1
50,51.0,10.71399974822998,0.0,1
51,52.0,10.928000450134277,0.0,0
52,53.0,11.142000198364258,0.0,1
53,54.0,11.357000350952148,0.0,1
54,55.0,11.571000099182129,0.0,1
55,56.0,11.78499984741211,0.0,1
56,57.0,12.0,0.0,0
57,58.0,12.21399974822998,0.0,1
58,59.0,12.428000450134277,0.0,0
59,60.0,12.642000198364258,0.0,1
60,61.0,12.857000350952148,0.0,1
61,62.0,13.071000099182129,0.0,1
62,63.0,13.28499984741211,0.0,1
63,64.0,13.5,0.0,1
64,65.0,13.71399974822998,0.0,0
65,66.0,13.928000450134277,0.0,1
66,67.0,14.142000198364258,0.0,1
67,68.0,14.357000350952148,0.0,1
68,69.0,14.571000099182129,0.0,1
69,70.0,14.78499984741211,0.0,1
70,71.0,15.0,0.0,1
71,72.0,15.21399974822998,0.0,1
72,73.0,15.428000450134277,0.0,1
73,74.0,15.642000198364258,0.0,1
74,75.0,15.857000350952148,0.0,1
75,76.0,16.070999145507812,0.0,1
76,77.0,16.28499984741211,0.0,1
77,78.0,16.5,0.0,1
78,79.0,16.714000701904297,0.0,0
79,80.0,16.92799949645996,0.0,1
80,81.0,17.142000198364258,0.0,1
81,82.0,17.35700035095215,0.0,1
82,83.0,17.570999145507812,0.0,1
83,84.0,17.78499984741211,0.0,1
84,85.0,18.0,0.0,1
85,86.0,18.214000701904297,0.0,1
86,87.0,18.42799949645996,0.0,1
87,88.0,18.642000198364258,0.0,1
88,89.0,18.85700035095215,0.0,1
89,90.0,19.070999145507812,0.0,1
90,91.0,19.28499984741211,0.0,1
91,92.0,19.5,0.0,1
92,93.0,19.714000701904297,0.0,1
93,94.0,19.92799949645996,0.0,1
94,95.0,20.142000198364258,0.0,1
95,96.0,20.35700035095215,0.0,1
96,97.0,20.570999145507812,0.0,1
97,98.0,20.78499984741211,0.0,1
98,99.0,21.0,0.0,1
99,100.0,21.214000701904297,0.0,1
100,101.0,21.42799949645996,0.0,1
101,102.0,21.642000198364258,0.0,1
102,103.0,21.85700035095215,0.0,1
103,104.0,22.070999145507812,0.0,1
104,105.0,22.28499984741211,0.0,1
105,106.0,22.5,0.0,1
106,107.0,22.714000701904297,0.0,1
107,108.0,22.92799949645996,0.0,1
108,109.0,23.142000198364258,0.0,1
109,110.0,23.35700035095215,0.0,1
110,111.0,23.570999145507812,0.0,1
111,112.0,23.78499984741211,0.0,1
112,113.0,0.0,3.2249999046325684,1
113,114.0,0.21400000154972076,3.2249999046325684,1
114,115.0,0.42800000309944153,3.2249999046325684,1
115,116.0,0.6420000195503235,3.2249999046325684,1
116,117.0,0.8569999933242798,3.2249999046325684,1
117,118.0,1.0709999799728394,3.2249999046325684,1
118,119.0,1.284999966621399,3.2249999046325684,1
119,120.0,1.5,3.2249999046325684,1
120,121.0,1.7139999866485596,3.2249999046325684,1
121,122.0,1.9279999732971191,3.2249999046325684,1
122,123.0,2.1419999599456787,3.2249999046325684,1
123,124.0,2.3570001125335693,3.2249999046325684,0
